campaign_id,channel,campaign_name,start_date,daily_budget
1,DISPLAY,CAMP-0001,2026-05-15,117928.38
2,DISPLAY,CAMP-0002,2026-03-18,9556.03
3,DISPLAY,CAMP-0003,2026-03-24,103800.63
4,EMAIL,CAMP-0004,2026-07-06,32233.73
5,EMAIL,CAMP-0005,2026-02-27,31402.77
6,EMAIL,CAMP-0006,2026-05-24,179589.7
7,AFFILIATE,CAMP-0007,2026-08-13,249876.82
8,SEARCH,CAMP-0008,2026-07-22,52648.0
9,DISPLAY,CAMP-0009,2026-04-03,61249.33
10,DISPLAY,CAMP-0010,2026-03-08,77622.47
11,DISPLAY,CAMP-0011,2026-05-30,197351.79
12,EMAIL,CAMP-0012,2026-05-27,128943.97
13,EMAIL,CAMP-0013,2026-06-23,144815.87
14,EMAIL,CAMP-0014,2026-01-18,138894.25
15,AFFILIATE,CAMP-0015,2026-05-10,234655.98
16,SOCIAL,CAMP-0016,2026-01-03,13538.98
17,AFFILIATE,CAMP-0017,2026-08-26,43689.32
18,EMAIL,CAMP-0018,2026-07-29,98617.68
19,SOCIAL,CAMP-0019,2026-06-27,124567.59
20,AFFILIATE,CAMP-0020,2026-03-12,32914.54
21,SOCIAL,CAMP-0021,2026-06-29,223826.57
22,SEARCH,CAMP-0022,2026-04-17,171075.43
23,EMAIL,CAMP-0023,2026-06-05,233399.62
24,EMAIL,CAMP-0024,2026-02-25,235496.3
25,SOCIAL,CAMP-0025,2026-04-24,130570.6
26,SEARCH,CAMP-0026,2026-07-30,213987.02
27,EMAIL,CAMP-0027,2026-02-15,185504.87
28,AFFILIATE,CAMP-0028,2026-04-03,93324.5
29,DISPLAY,CAMP-0029,2026-03-11,166050.57
30,SOCIAL,CAMP-0030,2026-02-12,238423.12
31,EMAIL,CAMP-0031,2026-04-06,192182.21
32,DISPLAY,CAMP-0032,2026-05-26,178805.97
33,SOCIAL,CAMP-0033,2026-01-14,59358.52
34,EMAIL,CAMP-0034,2026-02-19,208626.48
35,AFFILIATE,CAMP-0035,2026-07-16,100467.86
36,EMAIL,CAMP-0036,2026-03-04,157899.09
