product_id,category,brand,list_price,cost_price
1,Sports,Brand-045,182.81,94.24
2,Beauty,Brand-044,68.66,54.42
3,Fashion,Brand-118,1095.01,516.46
4,Sports,Brand-088,304.05,240.45
5,Sports,Brand-103,812.64,385.25
6,Electronics,Brand-093,954.48,535.59
7,Electronics,Brand-057,169.9,91.36
8,Fashion,Brand-095,191.59,103.63
9,Beauty,Brand-077,1629.05,1300.2
10,Home,Brand-089,381.44,232.84
11,Home,Brand-036,237.88,117.0
12,Grocery,Brand-028,174.84,138.79
13,Grocery,Brand-022,360.26,192.71
14,Home,Brand-035,1347.92,640.79
15,Electronics,Brand-117,698.09,320.05
16,Home,Brand-113,466.57,285.6
17,Fashion,Brand-018,1437.72,1109.08
18,Beauty,Brand-066,1232.28,561.84
19,Fashion,Brand-112,527.05,370.94
20,Electronics,Brand-090,3717.83,2011.89
21,Grocery,Brand-073,330.98,174.32
22,Grocery,Brand-072,971.09,676.2
23,Home,Brand-039,294.6,209.68
24,Sports,Brand-111,830.71,536.35
25,Beauty,Brand-010,330.73,172.24
26,Grocery,Brand-104,583.53,263.88
27,Beauty,Brand-104,2730.14,1933.07
28,Home,Brand-032,863.92,570.07
29,Fashion,Brand-061,590.8,353.23
30,Electronics,Brand-106,217.07,113.91
31,Electronics,Brand-057,468.99,336.11
32,Fashion,Brand-036,180.12,85.52
33,Beauty,Brand-009,820.23,553.61
34,Grocery,Brand-053,803.92,555.46
35,Grocery,Brand-034,349.43,184.55
36,Grocery,Brand-102,1526.64,945.24
37,Fashion,Brand-103,1364.19,862.26
38,Beauty,Brand-039,454.74,298.74
39,Electronics,Brand-026,634.23,485.45
40,Home,Brand-035,251.95,161.56
41,Sports,Brand-048,324.49,153.67
42,Sports,Brand-080,170.31,97.2
43,Grocery,Brand-019,275.15,184.33
44,Sports,Brand-119,371.11,210.27
45,Fashion,Brand-084,106.88,76.82
46,Fashion,Brand-016,639.99,330.53
47,Grocery,Brand-038,913.88,456.99
48,Electronics,Brand-084,400.88,212.81
49,Fashion,Brand-060,46.63,35.28
50,Sports,Brand-063,329.51,226.81
51,Beauty,Brand-005,132.33,83.63
52,Fashion,Brand-049,247.72,137.51
53,Fashion,Brand-074,1288.91,994.4
54,Grocery,Brand-090,57.54,43.79
55,Electronics,Brand-054,209.96,123.83
56,Electronics,Brand-067,783.41,558.93
57,Sports,Brand-027,230.09,177.11
58,Beauty,Brand-095,216.43,121.13
59,Beauty,Brand-084,2050.68,1158.74
60,Fashion,Brand-089,546.05,350.04
61,Sports,Brand-080,851.88,505.1
62,Fashion,Brand-118,599.28,429.39
63,Sports,Brand-105,459.14,292.9
64,Home,Brand-097,1109.01,581.29
65,Fashion,Brand-040,1852.47,1064.68
66,Beauty,Brand-008,104.92,71.86
67,Grocery,Brand-001,392.19,183.82
68,Fashion,Brand-093,389.72,222.05
69,Beauty,Brand-107,286.17,130.39
70,Beauty,Brand-078,884.35,652.03
71,Home,Brand-086,495.47,243.28
72,Grocery,Brand-011,1882.54,898.01
73,Fashion,Brand-068,972.83,705.6
74,Grocery,Brand-073,1202.02,578.57
75,Sports,Brand-019,154.57,106.57
76,Grocery,Brand-090,211.69,123.41
77,Sports,Brand-040,226.12,166.78
78,Electronics,Brand-024,1162.69,597.62
79,Electronics,Brand-083,186.1,89.24
80,Fashion,Brand-052,190.5,100.95
81,Electronics,Brand-064,164.5,127.69
82,Sports,Brand-065,3649.78,2701.54
83,Grocery,Brand-075,360.04,198.03
84,Electronics,Brand-050,616.41,321.85
85,Home,Brand-097,161.99,81.79
86,Sports,Brand-105,869.06,458.36
87,Sports,Brand-058,97.62,50.93
88,Electronics,Brand-021,184.34,140.26
89,Beauty,Brand-034,224.73,102.7
90,Grocery,Brand-092,480.63,364.34
91,Sports,Brand-031,213.91,99.36
92,Home,Brand-093,1365.39,1009.56
93,Beauty,Brand-079,603.4,361.44
94,Sports,Brand-054,232.37,110.85
95,Sports,Brand-016,896.14,653.87
96,Electronics,Brand-065,294.53,158.97
97,Beauty,Brand-083,251.55,190.5
98,Electronics,Brand-019,826.05,589.21
99,Sports,Brand-099,56.7,45.0
100,Home,Brand-024,726.22,538.24
101,Fashion,Brand-050,228.04,121.85
102,Fashion,Brand-064,227.76,135.11
103,Sports,Brand-088,1932.38,1340.73
104,Home,Brand-027,263.76,147.87
105,Fashion,Brand-040,866.73,555.81
106,Beauty,Brand-096,504.41,268.94
107,Beauty,Brand-040,548.06,373.79
108,Electronics,Brand-074,330.16,188.11
109,Fashion,Brand-048,316.66,148.61
110,Sports,Brand-007,1369.76,1080.36
111,Grocery,Brand-062,849.26,633.01
112,Electronics,Brand-043,270.5,150.48
113,Home,Brand-032,174.74,86.56
114,Sports,Brand-103,252.76,178.78
115,Home,Brand-093,884.65,466.42
116,Sports,Brand-034,1035.82,685.62
117,Electronics,Brand-063,628.89,454.48
118,Beauty,Brand-086,110.67,60.35
119,Home,Brand-007,737.32,405.25
120,Sports,Brand-012,1144.66,539.78
121,Home,Brand-065,463.52,260.47
122,Beauty,Brand-111,1966.17,1295.92
123,Electronics,Brand-111,140.22,70.75
124,Electronics,Brand-054,697.74,546.73
125,Beauty,Brand-084,178.36,125.36
126,Electronics,Brand-059,940.9,490.55
127,Sports,Brand-108,658.71,418.75
128,Electronics,Brand-068,1704.6,1000.61
129,Beauty,Brand-107,601.7,351.29
130,Grocery,Brand-044,292.01,188.64
131,Home,Brand-111,272.37,132.88
132,Home,Brand-087,330.25,173.5
133,Grocery,Brand-092,268.12,134.7
134,Grocery,Brand-002,1185.22,605.52
135,Home,Brand-096,1119.36,760.41
136,Beauty,Brand-020,121.84,97.31
137,Beauty,Brand-112,416.0,282.0
138,Grocery,Brand-023,424.11,337.02
139,Grocery,Brand-099,215.93,140.78
140,Electronics,Brand-076,572.84,314.58
141,Beauty,Brand-047,1298.13,980.49
142,Fashion,Brand-106,823.4,389.89
143,Grocery,Brand-047,1185.19,575.82
144,Sports,Brand-008,227.06,177.49
145,Beauty,Brand-009,415.39,281.45
146,Grocery,Brand-102,218.65,169.48
147,Grocery,Brand-046,488.6,242.59
148,Fashion,Brand-098,525.09,377.48
149,Home,Brand-003,869.46,462.71
150,Electronics,Brand-010,1153.77,657.85
151,Sports,Brand-118,700.07,535.31
152,Sports,Brand-018,202.73,120.41
153,Fashion,Brand-082,136.76,93.64
154,Fashion,Brand-042,611.56,465.12
155,Home,Brand-060,1339.99,1011.43
156,Home,Brand-014,395.51,179.21
157,Home,Brand-032,118.88,60.08
158,Electronics,Brand-091,2138.38,1649.8
159,Beauty,Brand-064,596.77,386.02
160,Electronics,Brand-060,462.62,285.93
161,Grocery,Brand-113,158.48,74.94
162,Beauty,Brand-049,408.7,187.5
163,Sports,Brand-096,698.9,547.72
164,Home,Brand-087,603.3,371.54
165,Electronics,Brand-055,234.18,169.84
166,Beauty,Brand-035,385.43,203.12
167,Electronics,Brand-043,246.46,131.36
168,Fashion,Brand-104,1527.41,986.84
169,Electronics,Brand-037,825.43,624.53
170,Sports,Brand-078,265.21,146.13
171,Grocery,Brand-015,158.42,89.52
172,Home,Brand-042,503.84,323.83
173,Beauty,Brand-112,271.98,126.2
174,Sports,Brand-065,288.69,168.18
